,place_code,ItemID,address,local,category
0,STORE_SB0001,성북동메밀수제비누룽지백숙,서울 성북구 성북로31길 9,(지번) 성북동 281-1,닭요리
1,STORE_SB0002,성북동빵공장,서울 성북구 대사관로 40 B동 1~3층,(지번) 성북동 330-105,디저트카페
2,STORE_SB0003,나폴레옹제과점 본점,서울 성북구 성북로 7,(지번) 성북동1가 35-5,"제과,베이커리"
3,STORE_SB0004,빙수야,서울 성북구 종암로38길 16,(지번) 하월곡동 90-55,떡볶이
4,STORE_SB0005,성북동면옥집,서울 성북구 대사관로 40,(지번) 성북동 330-105,냉면
5,STORE_SB0006,한상차림밥상,서울 성북구 고려대로8길 35,(지번) 안암동3가 9,한식
6,STORE_SB0007,블랑제메종북악,서울 성북구 성북로 156,(지번) 성북동 270-1,디저트카페
7,STORE_SB0008,공푸,서울 성북구 삼선교로24길 29,(지번) 삼선동5가 299-10,중화요리
8,STORE_SB0009,한스갤러리,서울 성북구 정릉로10길 127,(지번) 정릉동 918,이탈리안
9,STORE_SB0010,수연산방,서울 성북구 성북로26길 8,(지번) 성북동 248,전통찻집
10,STORE_SB0011,팔백집,서울 성북구 보문로30길 46,(지번) 동선동2가 172,갈비
11,STORE_SB0012,금왕돈까스 본점,서울 성북구 성북로 138,(지번) 성북동 256-2,"돈까스,우동"
12,STORE_SB0013,쌍다리돼지불백 본점,서울 성북구 성북로23길 4,(지번) 성북동 109-2,기사식당
13,STORE_SB0014,태조감자국,서울 성북구 보문로34길 43 세학빌딩 1층,(지번) 동선동1가 49,감자탕
14,STORE_SB0015,이공김밥 안암본점,서울 성북구 안암로 61-6,(지번) 안암동5가 134-94,분식
15,STORE_SB0016,안동반점,서울 성북구 고려대로1길 35-1,(지번) 보문동1가 53,중화요리
16,STORE_SB0017,수아당,"서울 성북구 동소문로20가길 33 1,2층",(지번) 동선동1가 111,분식
17,STORE_SB0018,고른햇살,서울 성북구 개운사길 27,(지번) 안암동5가 147-5,분식
18,STORE_SB0019,문화식당,서울 성북구 보문로30나길 37 지하1층,(지번) 동선동2가 150,퓨전요리
19,STORE_SB0020,갈비명가이상 길음신관,서울 성북구 정릉로 395,(지번) 하월곡동 221,갈비
20,STORE_SB0021,장위동유성집 본점,"서울 성북구 화랑로 118 2, 3층",(지번) 하월곡동 13-26,"육류,고기"
21,STORE_SB0022,해로커피,서울 성북구 성북로 19-3 1층,(지번) 성북동1가 66,커피전문점
22,STORE_SB0023,청년밥상문간,서울 성북구 보국문로11길 18-2 2층,(지번) 정릉동 398-12,"찌개,전골"
23,STORE_SB0024,애정마라샹궈 본점,서울 성북구 동소문로20나길 11 2층,(지번) 동선동1가 2-6,중식
24,STORE_SB0025,우리할매떡볶이 정릉점,서울 성북구 보국문로 45 1층 4호,(지번) 정릉동 400-25,떡볶이
25,STORE_SB0026,최고당돈가스 성신여대점,서울 성북구 보문로34길 77 1층,(지번) 동선동1가 84-1,"돈까스,우동"
26,STORE_SB0027,알렉스더커피 성북점,서울 성북구 성북로28길 9,(지번) 성북동 260-38,커피전문점
27,STORE_SB0028,제순식당 성신여대본점,서울 성북구 동소문로20다길 30-8,(지번) 동선동1가 85-94,한식
28,STORE_SB0029,청수장,서울 성북구 정릉로 237-2 1층,(지번) 정릉2동 416-27,"육류,고기"
29,STORE_SB0030,우정초밥,서울 성북구 종암로3길 31 1층,(지번) 종암동 33-14,"초밥,롤"
30,STORE_SB0031,라라면가,서울 성북구 동소문로22길 57-25,(지번) 동선동2가 135-8,중식
31,STORE_SB0032,드림랜드,서울 성북구 월계로 166,(지번) 장위동 218-25,분식
32,STORE_SB0033,갈비명가이상 돈암본관,서울 성북구 정릉로 364,(지번) 돈암동 12-8,갈비
33,STORE_SB0034,한상,서울 성북구 화랑로 248 장위뉴타워 13층,(지번) 석관동 349-1,한정식
34,STORE_SB0035,427월곡닭갈비,서울 성북구 화랑로 170,(지번) 상월곡동 25-15,닭요리
35,STORE_SB0036,창신동매운족발 본점1호점,서울 성북구 한천로78길 57,(지번) 석관동 133-57,"족발,보쌈"
36,STORE_SB0037,동선식당,서울 성북구 보문로30라길 9 1층,(지번) 동선동2가 65,갈비
37,STORE_SB0038,폴드커피,"서울 성북구 종암로 214-3 1,2층",(지번) 하월곡동 133,카페
38,STORE_SB0039,장수감자탕,서울 성북구 도봉로3길 9-10,(지번) 길음동 489-58,감자탕
39,STORE_SB0040,버거파크 성신여대점,서울 성북구 동소문로22길 56 1층,(지번) 동선동2가 10,햄버거
40,STORE_SB0041,국시집,서울 성북구 창경궁로43길 9,(지번) 성북동1가 9,국수
41,STORE_SB0042,오박사네왕돈까스,서울 성북구 혜화로 80,(지번) 성북동 131-32,"돈까스,우동"
42,STORE_SB0043,커피명가 안암점,서울 성북구 안암로5길 40 java빌딩 1층,(지번) 안암동4가 8,카페
43,STORE_SB0044,그레도제빵사,서울 성북구 화랑로 304,(지번) 석관동 168-76,"제과,베이커리"
44,STORE_SB0045,스프레드,서울 성북구 성북로6가길 1 1층,(지번) 성북동 184-37,"제과,베이커리"
45,STORE_SB0046,성북동집,서울 성북구 성북로24길 4,(지번) 성북동 91,국수
46,STORE_SB0047,윤휘식당,서울 성북구 보문로34길 70 2층,(지번) 동선동2가 135-21,일식
47,STORE_SB0048,우주제빵소,"서울 성북구 성북로28길 13 지하1층,1,2층",(지번) 성북동 260-9,"제과,베이커리"
48,STORE_SB0049,서울왕돈까스 성북동본점,서울 성북구 창경궁로35다길 140,(지번) 성북동 131-85,"돈까스,우동"
49,STORE_SB0050,마몽함박,서울 성북구 보국문로 92,(지번) 정릉동 289-50,"스테이크,립"
50,STORE_SB0051,구포국수,서울 성북구 성북로 52-1,(지번) 성북동 170-41,국수
51,STORE_SB0052,더홈서울,서울 성북구 고려대로1길 87,(지번) 삼선동5가 357,커피전문점
52,STORE_SB0053,남해바다마차,서울 성북구 한천로78길 71,(지번) 석관동 133-62,회
53,STORE_SB0054,두부촌,서울 성북구 안암로 43,(지번) 안암동5가 110-135,두부전문점
54,STORE_SB0055,군자대한곱창 성신여대점,서울 성북구 동소문로20다길 15 1층,(지번) 동선동1가 3-4,"곱창,막창"
55,STORE_SB0056,카페루틴,서울 성북구 보문로34가길 6 1층,(지번) 동선동3가 230,카페
56,STORE_SB0057,시장떡볶이,서울 성북구 돌곶이로22가길 27,(지번) 석관동 270-1,떡볶이
57,STORE_SB0058,성북동돼지갈비 본점,서울 성북구 성북로 115,(지번) 성북동 114-2,갈비
58,STORE_SB0059,야마토텐동,서울 성북구 고려대로28길 2 1층,(지번) 안암동5가 93-15,일식
59,STORE_SB0060,포도집,서울 성북구 정릉로32길 4 1층,(지번) 정릉동 132-2,이탈리안
60,STORE_SB0061,동우설렁탕 본점,서울 성북구 개운사길 45,(지번) 안암동5가 15-25,설렁탕
61,STORE_SB0062,가부,서울 성북구 보문로 182 1층,(지번) 삼선동4가 351-3,중화요리
62,STORE_SB0063,백소정,서울 성북구 개운사길 30 2층,(지번) 안암동5가 15-57,"돈까스,우동"
63,STORE_SB0064,바람난오리궁뎅이,서울 성북구 보국문로29길 15,(지번) 정릉동 767-4,오리
64,STORE_SB0065,밀곳간,서울 성북구 성북로18길 19,(지번) 성북동 63-1,"제과,베이커리"
65,STORE_SB0066,보배반점 성신여대직영점,서울 성북구 보문로34길 39 백옥빌딩 1층,(지번) 동선동1가 48,중화요리
66,STORE_SB0067,일번지정육식당 돌곶이직영점,서울 성북구 화랑로 254,(지번) 석관동 242-1,"육류,고기"
67,STORE_SB0068,죠셉의커피나무,서울 성북구 성북로31길 65,(지번) 성북동 350-3,커피전문점
68,STORE_SB0069,김통,서울 성북구 동소문로 124 1층,(지번) 동선동1가 120-14,"육류,고기"
69,STORE_SB0070,추억의옛날떡볶이,서울 성북구 동소문로22길 39-5,(지번) 동선동1가 85-103,떡볶이
70,STORE_SB0071,옛날중국집,서울 성북구 성북로8길 8,(지번) 성북동 184-2,중화요리
71,STORE_SB0072,정이정,서울 성북구 종암로 82-15,(지번) 종암동 10-101,카페
