,place_Code,ItemID,address,local,category
0,STORE_GC0001,광고만두라,서울 금천구 시흥대로 97 BB53호,(지번) 시흥동 984,한식
1,STORE_GC0002,가산물갈비&백년불고기,서울 금천구 가산디지털1로 128 STXV타워 1층 110호,(지번) 가산동 371-37,"불고기,두루치기"
2,STORE_GC0003,동흥관,서울 금천구 시흥대로63길 20,(지번) 시흥동 115-10,중화요리
3,STORE_GC0004,강강술래 시흥점,서울 금천구 시흥대로 193 금천ICT타워 2층,(지번) 시흥동 991,"육류,고기"
4,STORE_GC0005,도원,서울 금천구 범안로 1130 디지털엠파이어빌딩 101호,(지번) 가산동 685,뷔페
5,STORE_GC0006,쌍교숯불갈비 서울금천점,서울 금천구 시흥대로 435 1층,(지번) 독산동 152-3,한식
6,STORE_GC0007,농장사람들,서울 금천구 벚꽃로 316 C&S타워 1층,(지번) 가산동 777,"육류,고기"
7,STORE_GC0008,순댕이네얼큰수제비,서울 금천구 시흥대로136길 1,(지번) 독산동 160-17,수제비
8,STORE_GC0009,김사부샤브샤브,서울 금천구 가산로 132,(지번) 가산동 145-24,샤브샤브
9,STORE_GC0010,왕게수산,서울 금천구 시흥대로 182,(지번) 시흥동 903-5,"게,대게"
10,STORE_GC0011,채영진의명품생고기무한리필 독산점,서울 금천구 독산로 176,(지번) 독산동 378-436,고기뷔페
11,STORE_GC0012,개성손만두요리전문점 가산디지털점,서울 금천구 가산로9길 22,(지번) 가산동 143-18,한식
12,STORE_GC0013,두껍삼 가산직영점,서울 금천구 벚꽃로38길 43,(지번) 가산동 87-225,삼겹살
13,STORE_GC0014,문정곱창,서울 금천구 디지털로12길 37 1층,(지번) 가산동 143-20,"곱창,막창"
14,STORE_GC0015,춘천옥,서울 금천구 디지털로12길 19,(지번) 가산동 140-38,"족발,보쌈"
15,STORE_GC0016,은행골 시흥분점,서울 금천구 시흥대로 198 지하1층,(지번) 시흥동 890-10,"초밥,롤"
16,STORE_GC0017,호세가,서울 금천구 남부순환로108길 19 1층,(지번) 가산동 145-13,"멕시칸,브라질"
17,STORE_GC0018,북촌삼대갈비 가산본점,서울 금천구 가산로 149 1층,(지번) 가산동 140-8,갈비
18,STORE_GC0019,만두라,서울 금천구 시흥대로 97 BB53호,(지번) 시흥동 984,한식
